Campaign,Ad Group,Status,Max CPC,Ad Group Type
S01 | Brand Defence,Brand | Core,Paused,2.00,Standard
S01 | Brand Defence,Brand | Modules,Paused,2.00,Standard
S01 | Brand Defence,Brand | Programmes,Paused,2.00,Standard
S02 | Conquest | Repricers,Aura | Brand,Paused,2.50,Standard
S02 | Conquest | Repricers,Aura | Switch,Paused,4.00,Standard
S02 | Conquest | Repricers,SellerSnap | Brand,Paused,2.50,Standard
S02 | Conquest | Repricers,SellerSnap | Switch,Paused,4.00,Standard
S02 | Conquest | Repricers,BQool,Paused,4.00,Standard
S02 | Conquest | Repricers,Informed Repricer,Paused,4.00,Standard
S02 | Conquest | Repricers,Repricer.com,Paused,4.00,Standard
S03 | Conquest | Sourcing & Ops,SellerAmp | Brand,Paused,2.50,Standard
S03 | Conquest | Sourcing & Ops,SellerAmp | Switch,Paused,4.00,Standard
S03 | Conquest | Sourcing & Ops,Third Party Profits | Brand,Paused,2.50,Standard
S03 | Conquest | Sourcing & Ops,Third Party Profits | Switch,Paused,4.00,Standard
S03 | Conquest | Sourcing & Ops,Scan Unlimited,Paused,4.00,Standard
S03 | Conquest | Sourcing & Ops,Rocket Source,Paused,4.00,Standard
S03 | Conquest | Sourcing & Ops,Seller Assistant,Paused,4.00,Standard
S03 | Conquest | Sourcing & Ops,Tactical Arbitrage,Paused,4.00,Standard
S03 | Conquest | Sourcing & Ops,Boxem,Paused,4.00,Standard
S03 | Conquest | Sourcing & Ops,2D Workflow,Paused,4.00,Standard
S04 | Conquest | Analytics & Research,sellerboard | Brand,Paused,2.50,Standard
S04 | Conquest | Analytics & Research,sellerboard | Switch,Paused,4.00,Standard
S04 | Conquest | Analytics & Research,SmartScout | Brand,Paused,2.50,Standard
S04 | Conquest | Analytics & Research,SmartScout | Switch,Paused,4.00,Standard
S04 | Conquest | Analytics & Research,Helium 10 | Brand,Paused,2.50,Standard
S04 | Conquest | Analytics & Research,Helium 10 | Switch,Paused,4.00,Standard
S04 | Conquest | Analytics & Research,Jungle Scout | Brand,Paused,2.50,Standard
S04 | Conquest | Analytics & Research,Jungle Scout | Switch,Paused,4.00,Standard
S04 | Conquest | Analytics & Research,InventoryLab,Paused,4.00,Standard
S05 | Category | Repricing,Repricer | Core,Paused,9.00,Standard
S05 | Category | Repricing,Repricer | Buy Box,Paused,9.00,Standard
S05 | Category | Repricing,Repricer | Profit Floors,Paused,7.50,Standard
S05 | Category | Repricing,Repricer | Wholesale,Paused,7.50,Standard
S06 | Category | Wholesale Scanning,Scanner | Price Lists,Paused,7.00,Standard
S06 | Category | Wholesale Scanning,Scanner | Bulk Lookup,Paused,6.00,Standard
S06 | Category | Wholesale Scanning,Scanner | Wholesale Software,Paused,7.00,Standard
S06 | Category | Wholesale Scanning,Scanner | Ungating,Paused,5.00,Standard
S07 | Category | Profit & Analytics,Profit | Tracker,Paused,6.50,Standard
S07 | Category | Profit & Analytics,Profit | True Cost,Paused,6.00,Standard
S07 | Category | Profit & Analytics,Profit | Restock,Paused,6.00,Standard
S07 | Category | Profit & Analytics,Profit | Review Requests,Paused,5.00,Standard
S08 | Category | Suppliers & Ungating,Suppliers | Distributors,Paused,5.00,Standard
S08 | Category | Suppliers & Ungating,Suppliers | Ungating,Paused,4.50,Standard
S08 | Category | Suppliers & Ungating,Suppliers | Prep Centers,Paused,4.00,Standard
S08 | Category | Suppliers & Ungating,Suppliers | First Order,Paused,5.00,Standard
S10 | DSA | Comparisons & Blog,DSA | Comparison Pages,Paused,4.00,Standard
S10 | DSA | Comparisons & Blog,DSA | Blog,Paused,2.50,Standard
