Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Status
S01 | Brand Defence,Brand | Core,[apex applications],Exact,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,"""apex applications""",Phrase,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,[apexapplications],Exact,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,"""apexapplications""",Phrase,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,[apex applications amazon],Exact,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,"""apex applications amazon""",Phrase,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,[apex applications software],Exact,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,"""apex applications software""",Phrase,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,[apex applications io],Exact,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,"""apex applications io""",Phrase,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,[apex apps amazon],Exact,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,"""apex apps amazon""",Phrase,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,[apex amazon wholesale software],Exact,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,"""apex amazon wholesale software""",Phrase,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,[apex applications login],Exact,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,"""apex applications login""",Phrase,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,[apex applications review],Exact,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,"""apex applications review""",Phrase,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,[apex applications pricing],Exact,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Core,"""apex applications pricing""",Phrase,2.00,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Modules,[apex gold repricer],Exact,2.00,https://www.apexapplications.io/features/gold,Paused
S01 | Brand Defence,Brand | Modules,"""apex gold repricer""",Phrase,2.00,https://www.apexapplications.io/features/gold,Paused
S01 | Brand Defence,Brand | Modules,[apex green scanner],Exact,2.00,https://www.apexapplications.io/features/gold,Paused
