Campaign,Callout text
S01 | Brand Defence,Repricer in every plan
S01 | Brand Defence,Seven day free trial
S01 | Brand Defence,No charge for seven days
S01 | Brand Defence,3 distributors on sign up
S01 | Brand Defence,3 more every month
S01 | Brand Defence,Bulk ungating checks
S01 | Brand Defence,Purchase orders built in
S01 | Brand Defence,Real landed cost margins
S01 | Brand Defence,Built for wholesale
S01 | Brand Defence,Cancel any time
S02 | Conquest | Repricers,Repricer in every plan
S02 | Conquest | Repricers,Seven day free trial
S02 | Conquest | Repricers,No charge for seven days
S02 | Conquest | Repricers,3 distributors on sign up
S02 | Conquest | Repricers,3 more every month
S02 | Conquest | Repricers,Bulk ungating checks
S02 | Conquest | Repricers,Purchase orders built in
S02 | Conquest | Repricers,Real landed cost margins
S02 | Conquest | Repricers,Built for wholesale
S02 | Conquest | Repricers,Cancel any time
S03 | Conquest | Sourcing & Ops,Repricer in every plan
S03 | Conquest | Sourcing & Ops,Seven day free trial
S03 | Conquest | Sourcing & Ops,No charge for seven days
S03 | Conquest | Sourcing & Ops,3 distributors on sign up
S03 | Conquest | Sourcing & Ops,3 more every month
S03 | Conquest | Sourcing & Ops,Bulk ungating checks
S03 | Conquest | Sourcing & Ops,Purchase orders built in
S03 | Conquest | Sourcing & Ops,Real landed cost margins
S03 | Conquest | Sourcing & Ops,Built for wholesale
S03 | Conquest | Sourcing & Ops,Cancel any time
S04 | Conquest | Analytics & Research,Repricer in every plan
S04 | Conquest | Analytics & Research,Seven day free trial
S04 | Conquest | Analytics & Research,No charge for seven days
S04 | Conquest | Analytics & Research,3 distributors on sign up
S04 | Conquest | Analytics & Research,3 more every month
S04 | Conquest | Analytics & Research,Bulk ungating checks
S04 | Conquest | Analytics & Research,Purchase orders built in
S04 | Conquest | Analytics & Research,Real landed cost margins
S04 | Conquest | Analytics & Research,Built for wholesale
S04 | Conquest | Analytics & Research,Cancel any time
S05 | Category | Repricing,Repricer in every plan
S05 | Category | Repricing,Seven day free trial
S05 | Category | Repricing,No charge for seven days
S05 | Category | Repricing,3 distributors on sign up
S05 | Category | Repricing,3 more every month
S05 | Category | Repricing,Bulk ungating checks
S05 | Category | Repricing,Purchase orders built in
S05 | Category | Repricing,Real landed cost margins
S05 | Category | Repricing,Built for wholesale
S05 | Category | Repricing,Cancel any time
S06 | Category | Wholesale Scanning,Repricer in every plan
S06 | Category | Wholesale Scanning,Seven day free trial
S06 | Category | Wholesale Scanning,No charge for seven days
S06 | Category | Wholesale Scanning,3 distributors on sign up
S06 | Category | Wholesale Scanning,3 more every month
S06 | Category | Wholesale Scanning,Bulk ungating checks
S06 | Category | Wholesale Scanning,Purchase orders built in
S06 | Category | Wholesale Scanning,Real landed cost margins
S06 | Category | Wholesale Scanning,Built for wholesale
S06 | Category | Wholesale Scanning,Cancel any time
S07 | Category | Profit & Analytics,Repricer in every plan
S07 | Category | Profit & Analytics,Seven day free trial
S07 | Category | Profit & Analytics,No charge for seven days
S07 | Category | Profit & Analytics,3 distributors on sign up
S07 | Category | Profit & Analytics,3 more every month
S07 | Category | Profit & Analytics,Bulk ungating checks
S07 | Category | Profit & Analytics,Purchase orders built in
S07 | Category | Profit & Analytics,Real landed cost margins
S07 | Category | Profit & Analytics,Built for wholesale
S07 | Category | Profit & Analytics,Cancel any time
S08 | Category | Suppliers & Ungating,Repricer in every plan
S08 | Category | Suppliers & Ungating,Seven day free trial
S08 | Category | Suppliers & Ungating,No charge for seven days
S08 | Category | Suppliers & Ungating,3 distributors on sign up
S08 | Category | Suppliers & Ungating,3 more every month
S08 | Category | Suppliers & Ungating,Bulk ungating checks
S08 | Category | Suppliers & Ungating,Purchase orders built in
S08 | Category | Suppliers & Ungating,Real landed cost margins
S08 | Category | Suppliers & Ungating,Built for wholesale
S08 | Category | Suppliers & Ungating,Cancel any time
S10 | DSA | Comparisons & Blog,Repricer in every plan
S10 | DSA | Comparisons & Blog,Seven day free trial
S10 | DSA | Comparisons & Blog,No charge for seven days
S10 | DSA | Comparisons & Blog,3 distributors on sign up
S10 | DSA | Comparisons & Blog,3 more every month
S10 | DSA | Comparisons & Blog,Bulk ungating checks
S10 | DSA | Comparisons & Blog,Purchase orders built in
S10 | DSA | Comparisons & Blog,Real landed cost margins
S10 | DSA | Comparisons & Blog,Built for wholesale
S10 | DSA | Comparisons & Blog,Cancel any time
