Campaign,Header,Values
S01 | Brand Defence,Features,Catalog scanning;Bulk ungating;Purchase orders;Repricing;Profit and P&L;Restock planning;Review requests
S01 | Brand Defence,Service catalog,Wholesale sourcing;Supplier price lists;Buy Box repricing;Inventory restock;Prep centre network
S02 | Conquest | Repricers,Features,Catalog scanning;Bulk ungating;Purchase orders;Repricing;Profit and P&L;Restock planning;Review requests
S02 | Conquest | Repricers,Service catalog,Wholesale sourcing;Supplier price lists;Buy Box repricing;Inventory restock;Prep centre network
S03 | Conquest | Sourcing & Ops,Features,Catalog scanning;Bulk ungating;Purchase orders;Repricing;Profit and P&L;Restock planning;Review requests
S03 | Conquest | Sourcing & Ops,Service catalog,Wholesale sourcing;Supplier price lists;Buy Box repricing;Inventory restock;Prep centre network
S04 | Conquest | Analytics & Research,Features,Catalog scanning;Bulk ungating;Purchase orders;Repricing;Profit and P&L;Restock planning;Review requests
S04 | Conquest | Analytics & Research,Service catalog,Wholesale sourcing;Supplier price lists;Buy Box repricing;Inventory restock;Prep centre network
S05 | Category | Repricing,Features,Catalog scanning;Bulk ungating;Purchase orders;Repricing;Profit and P&L;Restock planning;Review requests
S05 | Category | Repricing,Service catalog,Wholesale sourcing;Supplier price lists;Buy Box repricing;Inventory restock;Prep centre network
S06 | Category | Wholesale Scanning,Features,Catalog scanning;Bulk ungating;Purchase orders;Repricing;Profit and P&L;Restock planning;Review requests
S06 | Category | Wholesale Scanning,Service catalog,Wholesale sourcing;Supplier price lists;Buy Box repricing;Inventory restock;Prep centre network
S07 | Category | Profit & Analytics,Features,Catalog scanning;Bulk ungating;Purchase orders;Repricing;Profit and P&L;Restock planning;Review requests
S07 | Category | Profit & Analytics,Service catalog,Wholesale sourcing;Supplier price lists;Buy Box repricing;Inventory restock;Prep centre network
S08 | Category | Suppliers & Ungating,Features,Catalog scanning;Bulk ungating;Purchase orders;Repricing;Profit and P&L;Restock planning;Review requests
S08 | Category | Suppliers & Ungating,Service catalog,Wholesale sourcing;Supplier price lists;Buy Box repricing;Inventory restock;Prep centre network
S10 | DSA | Comparisons & Blog,Features,Catalog scanning;Bulk ungating;Purchase orders;Repricing;Profit and P&L;Restock planning;Review requests
S10 | DSA | Comparisons & Blog,Service catalog,Wholesale sourcing;Supplier price lists;Buy Box repricing;Inventory restock;Prep centre network
